Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?
Posting & Scheduling,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Posting & Scheduling,,No
P&S Founder,No,"PDF, Walkthrough, affiliate links","Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Posting & Scheduling (https://www.notion.so/Posting-Scheduling-17ed642a7f718040b18cffc04316721d?pvs=21),,No,Yes,3,Medium,No,Posting & Scheduling,Joden,No
P&S Individual,No,,"Aydan, Alex O'Connor",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Posting & Scheduling (https://www.notion.so/Posting-Scheduling-17ed642a7f718040b18cffc04316721d?pvs=21),,No,Yes,3,Medium,No,Posting & Scheduling,"Joden, Aydan",No
Repurposing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Repurposing,,No
Serialisation,Yes,,"Tia Warner, Joden",Finding Examples,"Tia Warner, Alex O'Connor","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,5,Medium,No,Repurposing,"Tia Warner, Joden",No
Repurposing from LinkedIn: Worked Examples/,Yes,Other Assets,Joden,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,3,Medium,No,Repurposing,Joden,Yes
Repurposing Normal,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,6,High,No,Repurposing,"Joden, Tia Warner",No
Research,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Research,,No
Research Advanced Tasks,No,,Tia Warner,Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,No,Yes,3,Medium,No,Research,Tia Warner,No
Research Basics,Yes,,Tia Warner,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,No,Yes,3,Medium,No,Research,Tia Warner,No
